fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
2,Model_A,rolling_ic_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,"{""volatility_20"": 0.18112679763555092, ""volume_change_20"": -0.8188732023644489}",-0.11600006397034435,-0.21854411309956467,0.27237459810587067,-0.7680836960072642,-0.2250964272166871,57.59172054167664,0.05759172054167665,-0.08284925153967948,-0.05467888658367538,-0.16883735842226044,0.32385537830391825,0.08419952634680641,-0.19619533716390677
3,Model_A,rolling_ic_weight,2019-08-20,2022-09-28,2022-09-29,2023-04-10,"{""volatility_20"": 0.3301649401553626, ""volume_change_20"": -0.6698350598446373}",0.036969882281728816,0.07530653675938259,0.15984692072491946,0.5337496420534265,-0.09392798024474946,58.55682620874436,0.05855682620874436,0.07211306157948782,-0.06843816166479179,-0.29657004296472306,0.2307655924402739,0.026959348881717582,0.08117306433340907
4,Model_A,rolling_ic_weight,2020-03-02,2023-04-10,2023-04-11,2023-10-18,"{""volatility_20"": 0.4137235119761631, ""volume_change_20"": -0.5862764880238369}",-0.10426341571568776,-0.19765597157467318,0.1486160497189443,-1.407483192021394,-0.10415034691362568,56.513201430807065,0.05651320143080706,-0.12040264957452318,0.03777526852307245,0.18472489269036613,0.2044947379473699,-0.01406555938653335,-0.21264807997333254
5,Model_A,rolling_ic_weight,2020-09-02,2023-10-18,2023-10-19,2024-04-24,"{""volatility_20"": 0.4651582214734526, ""volume_change_20"": -0.5348417785265476}",-0.10472223451068119,-0.19847772262045227,0.26174204090695435,-0.713957933687541,-0.2558303920330922,49.938160763503234,0.04993816076350323,-0.024638700707364403,-0.14792070238401897,-0.523306497926443,0.28266551814308066,0.24241653117616924,-0.17743017267841124
6,Model_A,rolling_ic_weight,2021-03-15,2024-04-24,2024-04-25,2024-11-01,"{""volatility_20"": 0.49360480908346327, ""volume_change_20"": -0.5063951909165366}",0.09637554871025555,0.2020393438097139,0.27819806943407593,0.798790191047774,-0.20895387950617317,46.77934098482044,0.046779340984820436,0.10461094609866994,-0.006802560612200692,-0.019304555926359795,0.35238109792062083,0.11796815380210181,0.19520429753225532
7,Model_A,rolling_ic_weight,2021-09-14,2024-11-01,2024-11-04,2025-05-13,"{""volatility_20"": 0.4346150136300998, ""volume_change_20"": -0.5653849863699003}",0.042998690877140255,0.08784626917142835,0.2773161738458868,0.44694810049873096,-0.2015015039627831,52.157553342816506,0.05215755334281651,0.0016041048632153831,0.10390249596070214,0.35816479588274475,0.2900968971688595,0.3916213458976135,0.11609649772772392
8,Model_A,rolling_ic_weight,2022-03-28,2025-05-13,2025-05-14,2025-11-14,"{""volatility_20"": 0.41706278416836157, ""volume_change_20"": -0.5829372158316384}",0.21941259979052008,0.4869670885278752,0.13621685557271004,2.982583380126021,-0.06691725810286353,52.36940730203887,0.05236940730203888,0.18784167381026795,0.052391159285643404,0.2592109850309976,0.20211782027439248,-0.08943294896987344,0.43792728487463856
9,Model_A,rolling_ic_weight,2022-09-29,2025-11-14,2025-11-17,2025-12-24,"{""volatility_20"": 0.35236916446255884, ""volume_change_20"": -0.6476308355374413}",-0.03413683980340676,-0.26845606458058946,0.17627576068937612,-1.6865563371108974,-0.06169649809713207,13.322844950213373,0.01332284495021337,0.0012791315733753361,-0.31777232024579655,-1.3795220970698319,0.2303495688258706,-0.09263082126340802,-0.29540254091896884
0,Model_A,rolling_icir_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": 0.07119731698818976, ""volume_change_20"": -0.9288026830118102}",0.14160587980770978,0.30326398481153505,0.16809638603022606,1.6600461343995896,-0.09384910676686753,60.063273972098926,0.0600632739720989,-0.03006385070671025,0.32359645999170816,1.3485286390514226,0.2399626160103884,0.058042673812321595,0.2816334817400884
1,Model_A,rolling_icir_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": 0.17512751500208637, ""volume_change_20"": -0.8248724849979137}",-0.11713142285832889,-0.22054307549584118,0.23911903459171496,-0.9216068145377712,-0.214693884074996,58.04164283297347,0.05804164283297347,-0.16369103664913054,0.1208685537403057,0.4216179264050651,0.2866779284526495,0.11136515699958084,-0.1823712310651769
