fold,model,weighting_method,train_start,train_end,test_start,test_end,factor_weights,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
0,Model_A,equal_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.13229143819670863,0.28208390101357095,0.16537283153192675,1.5854412799939843,-0.07554319224071271,49.37659281013657,0.04937659281013657,-0.03006385070671025,0.3067376178558977,1.3543118789913435,0.22648964585937767,0.13906674332545854,0.2683841569065085
1,Model_A,equal_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.12051751844454506,-0.22651056463705888,0.20966497789109068,-1.1193658273951976,-0.20289864690133852,50.50983877660238,0.0505098387766024,-0.16369103664913054,0.10655047405286688,0.40446998865406647,0.2634323362468234,0.10466879307055589,-0.19897439328433436
2,Model_A,equal_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.11367190703026264,-0.2144225116126286,0.25580682953982864,-0.8141343828557984,-0.21110660685166283,51.37776301010641,0.0513777630101064,-0.08284925153967948,-0.053733533869732036,-0.17305334673708536,0.3105027142374065,0.0804008646446535,-0.1958369825314332
3,Model_A,equal_weight,2019-08-20,2022-09-28,2022-09-29,2023-04-10,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.06587747372094355,0.13609478898574068,0.15989309995794096,0.8776346483956887,-0.10039834217687216,52.983466858992614,0.052983466858992606,0.07211306157948782,-0.013428673822575805,-0.05982930051779319,0.224449788086393,0.07630649092808776,0.12859511334397916
4,Model_A,equal_weight,2020-03-02,2023-04-10,2023-04-11,2023-10-18,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.12583504392796108,-0.23583562957557025,0.15006637966525999,-1.7170374126713117,-0.15048816647825625,54.48070513195242,0.05448070513195242,-0.12040264957452318,-0.010719727702286512,-0.0542416485927153,0.1976290909367047,0.0691491470181164,-0.24059321605493095
5,Model_A,equal_weight,2020-09-02,2023-10-18,2023-10-19,2024-04-24,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.07350154856314406,-0.14160061948510794,0.2734645160221333,-0.42217984978546125,-0.24758347617940357,49.78789631421211,0.0497878963142121,-0.024638700707364403,-0.07649910399480807,-0.2538243159678426,0.3013860342856193,0.13704401579015393,-0.11011305549898268
6,Model_A,equal_weight,2021-03-15,2024-04-24,2024-04-25,2024-11-01,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.04398209699473954,0.08989861884553374,0.3161115836112622,0.4268737922574827,-0.2604188972225784,49.14885114885114,0.049148851148851154,0.10461094609866994,-0.0940846991719104,-0.2526031626343288,0.3724604957068906,0.18312328025124675,0.09300004199600802
7,Model_A,equal_weight,2021-09-14,2024-11-01,2024-11-04,2025-05-13,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.010793095378576645,0.02170268166500433,0.24151885170216755,0.21064518162486157,-0.151788201290604,49.06526290165531,0.04906526290165531,0.0016041048632153831,0.030831341205338442,0.0977556855279641,0.3153917957694522,-0.11483688353633338,0.053176508702775356
8,Model_A,equal_weight,2022-03-28,2025-05-13,2025-05-14,2025-11-14,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",0.17264122645564273,0.37508744598339394,0.13474090564105612,2.432245025910165,-0.06395485499356479,51.25000000000001,0.05125,0.18784167381026795,-0.026164072706458458,-0.12484263505374155,0.2095764215101315,-0.18118136917048838,0.39184062333150566
9,Model_A,equal_weight,2022-09-29,2025-11-14,2025-11-17,2025-12-24,"{""volatility_20"": 0.5, ""volume_change_20"": 0.5}",-0.028282340793037708,-0.2275669317911848,0.16227645678238797,-1.5117714883951048,-0.048779156403599755,11.575,0.011575,0.0012791315733753361,-0.2657982395774799,-1.2250153613354018,0.21697543391433927,-0.05912615720646515,-0.24411441192507646
0,Model_A,rolling_ic_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,"{""volatility_20"": -0.07987672545862608, ""volume_change_20"": -0.9201232745413739}",0.2374087191953671,0.5311803383407188,0.18888278334580716,2.3511737570196996,-0.0915245259458114,56.86732485961069,0.05686732485961068,-0.03006385070671025,0.4886449475111896,1.9821297378836877,0.24652520880541046,0.12175677777265614,0.44952035002744345
1,Model_A,rolling_ic_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,"{""volatility_20"": -0.016366231622733023, ""volume_change_20"": -0.983633768377267}",-0.10200872314047638,-0.19361166668420238,0.26004646098854634,-0.6969494686965495,-0.23710119132900997,56.49801559100834,0.056498015591008345,-0.16369103664913054,0.16000304268333798,0.5232728998253228,0.30577360825823324,0.09789046440040326,-0.1478348770211751
