cost_bp_single_side,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha,cost_sensitivity_status
0,1.236414210638758,0.19089042847038962,0.19562437992902976,0.9916447646804718,-0.25031911855075306,105.03034425917372,0.0,-0.07972928424756909,0.19636497939006523,0.7671890170055933,0.25595384584166125,0.06580141182078812,0.19414617629075773,ROBUST_TO_COST
5,1.1220423603446186,0.1773981781965117,0.19563481705992292,0.9333269656798089,-0.2530064235669873,105.03034425917372,0.05251517212958687,-0.07972928424756909,0.18496633737744175,0.7226157568859897,0.255967761033233,0.06575296335198691,0.1827474192087966,ROBUST_TO_COST
10,1.0135092560716799,0.16405749482357224,0.19564829053767757,0.8750018091380715,-0.25568441310266854,105.03034425917372,0.10503034425917374,-0.07972928424756909,0.17356769536481823,0.6780411966967262,0.2559839965630458,0.06570451488318574,0.1713486621268355,ROBUST_TO_COST
20,0.8127842296495837,0.13782409313092558,0.19568434388368666,0.7583403005311298,-0.2610125708871882,105.03034425917372,0.21006068851834747,-0.07972928424756909,0.15077041133957128,0.5888930291222405,0.25602342680859763,0.06560761794558333,0.14855114796291327,ROBUST_TO_COST
30,0.6320358149374259,0.11217693746933932,0.19573253325708975,0.6416819832387036,-0.2663038411931401,105.03034425917372,0.3150910327775212,-0.07972928424756909,0.12797312731432423,0.4997542144435433,0.2560721322917052,0.06551072100798089,0.125753633798991,ROBUST_TO_COST
