model,weighting_method,year,strategy_return,benchmark_return,excess_return,Sharpe,max_drawdown,turnover,transaction_cost,daily_excess_win_rate
Model_B,equal_weight,2021,0.27617357027277123,-0.018899661208133356,0.2950732314809046,2.3322049467824457,-0.08979089316245514,15.876166699728966,0.015876166699728973,0.5228426395939086
Model_B,equal_weight,2022,-0.053228381739652275,-0.21632792685568147,0.1630995451160292,-0.125725847383477,-0.255684413102669,23.960869713940674,0.02396086971394068,0.5
Model_B,equal_weight,2023,0.12870982732329805,-0.11378153387591283,0.2424913611992109,1.0153038182707697,-0.1282359879806908,22.560701649789962,0.02256070164978996,0.5413223140495868
Model_B,equal_weight,2024,0.063941477043997,0.14683294910393552,-0.08289147205993852,0.3749379065283181,-0.19974594981363447,21.507606195714125,0.021507606195714124,0.49173553719008267
Model_B,equal_weight,2025,0.3877096477765747,0.1776787779135991,0.2100308698629756,2.241570439195276,-0.10191745154904053,21.125,0.021125,0.5336134453781513
Model_C,equal_weight,2021,0.31444499515098334,-0.040030079395614204,0.35447507454659755,2.4129735925389233,-0.11774990307156241,50.21211080989637,0.050212110809896376,0.5404040404040404
Model_C,equal_weight,2022,-0.20978908564977838,-0.21632792685568147,0.00653884120590309,-0.9398622428023847,-0.2991540818344419,67.0860939927856,0.06708609399278559,0.47520661157024796
Model_C,equal_weight,2023,0.040728094403629456,-0.11378153387591283,0.1545096282795423,0.37635460064023296,-0.16135297659897163,71.25711829603297,0.07125711829603296,0.5247933884297521
Model_C,equal_weight,2024,0.0258299642729225,0.14683294910393552,-0.12100298483101302,0.23360590540995177,-0.21885328447276897,58.11478202565811,0.058114782025658104,0.49173553719008267
Model_C,equal_weight,2025,0.2605776316638104,0.1776787779135991,0.08289885375021133,1.6105668427901196,-0.08780724198308743,64.275,0.064275,0.5126050420168067
