model,weighting_method,OOS_return,annualized_return,volatility,Sharpe,max_drawdown,turnover,transaction_cost,benchmark_return,annualized_excess_return,information_ratio,tracking_error,beta,jensen_alpha
Model_A,equal_weight,-0.0838093041711312,-0.018803538484391535,0.21847934392260523,0.02256412957884508,-0.5134298767073913,469.555376952509,0.469555376952509,-0.09954958631115318,0.011973615873036445,0.04392300429719193,0.27260466501837033,0.07736437986631046,0.005474736965409661
Model_A,rolling_ic_weight,0.36254849559253643,0.06939111508953344,0.23374195660337233,0.4050678535588024,-0.408536555868783,515.2535142100969,0.5152535142100969,-0.09954958631115318,0.10172517229442848,0.36395355677795577,0.27950042086411025,0.12657467550663729,0.09557292183404142
Model_A,rolling_icir_weight,0.35371765118555687,0.06788420876938339,0.23812013169816215,0.3960950932548575,-0.428009748059924,529.7712327473989,0.529771232747399,-0.09954958631115318,0.10136203541730823,0.358274770764846,0.28291703376411426,0.1288696231755092,0.09522595015439878
Model_B,equal_weight,1.0135092560716799,0.16405749482357224,0.19564829053767757,0.8750018091380715,-0.25568441310266854,105.03034425917372,0.10503034425917374,-0.07972928424756909,0.17356769536481823,0.6780411966967262,0.2559839965630458,0.06570451488318574,0.1713486621268355
Model_B,rolling_ic_weight,0.8448283293977699,0.14215981150921064,0.23131767015422092,0.6908843987500443,-0.3661458826362596,100.62769127842782,0.10062769127842783,-0.07972928424756909,0.1621888566543393,0.5686992390703852,0.2851926739333407,0.056501382240807724,0.15994796517391366
Model_B,rolling_icir_weight,0.8448283293977699,0.14215981150921064,0.23131767015422092,0.6908843987500443,-0.3661458826362596,100.62769127842782,0.10062769127842783,-0.07972928424756909,0.1621888566543393,0.5686992390703852,0.2851926739333407,0.056501382240807724,0.15994796517391366
Model_C,equal_weight,0.3978729356087629,0.07534349251076367,0.2006291736375724,0.4627329494090855,-0.36878890306206524,310.945105124373,0.3109451051243731,-0.09954958631115318,0.09988154890128714,0.3849185926770558,0.25948746254792404,0.0693887347881466,0.09332649098816553
Model_C,rolling_ic_weight,0.4288371166660987,0.08046501972433528,0.22931368463347054,0.45321128527503685,-0.3783775850619868,444.22643615012055,0.4442264361501206,-0.09954958631115318,0.11097136939035535,0.39824279202404456,0.2786525496829464,0.10149495991971626,0.10464246193658938
Model_C,rolling_icir_weight,0.43984201783503685,0.08226431643631882,0.232308928132108,0.4575413605738461,-0.4021848553800649,480.4955860109318,0.4804955860109318,-0.09954958631115318,0.11333476269748223,0.4065603022130131,0.2787649509324244,0.12248385494107329,0.10715369723482532
Model_D,equal_weight,0.12211817144831216,0.025301856079082308,0.21370810051390146,0.22394933912680315,-0.402921744838849,320.9302300542513,0.32093023005425136,-0.09954958631115318,0.05490360752259835,0.2070529019609063,0.26516705152466163,0.10817418062964833,0.04862174729489206
Model_D,rolling_ic_weight,0.43889435682411504,0.08210979886381375,0.24750913528270918,0.4436306062807789,-0.4415425949221897,383.0854569041912,0.38308545690419116,-0.09954958631115318,0.11684644739196529,0.39685526066181764,0.29443088948123236,0.09567063322974895,0.11047651443143305
Model_D,rolling_icir_weight,0.292732936179688,0.0572620273018436,0.24697955708349006,0.3501131473785113,-0.45359381635534246,424.61636238384295,0.424616362383843,-0.09954958631115318,0.09351460971511716,0.318732373160827,0.2933953924659271,0.10118526309409394,0.08718352081276641
Model_E,equal_weight,-0.3130307503928065,-0.07819936223757173,0.23156305493594975,-0.23578461989629182,-0.6031757873802399,431.8146634846706,0.43181466348467057,-0.09954958631115318,-0.04755518724363135,-0.17101859540959632,0.27807027142127316,0.12313310814722583,-0.05373167948379926
Model_E,rolling_ic_weight,0.2618624992318894,0.05173475168763941,0.24803415810575116,0.3290118049454255,-0.47290847799690927,461.0670412248158,0.4610670412248159,-0.09954958631115318,0.08864998569295796,0.3017939484186991,0.29374341718067803,0.10623689088816274,0.0823544795457097
Model_E,rolling_icir_weight,0.2918369464168924,0.05710306681723565,0.2504178741731086,0.3486371943110112,-0.4707782419969403,483.39551084669756,0.48339551084669763,-0.09954958631115318,0.09434880470350618,0.32025968245412456,0.29460094377324914,0.11710719883143605,0.08812986704491188
