ablation,factors,method,annualized_return,volatility,sharpe,max_drawdown,information_ratio,turnover,transaction_cost,benchmark_excess_return
raw_five,momentum_20|momentum_60|volatility_20|volatility_60|volume_change_20,rolling_icir_weight,0.05805081554723612,0.25071529825370525,0.23154077932848363,-0.47665924529267967,-1.0841253214413802,424.7849230469726,0.4247849230469726,-0.4446155134632696
drop_volatility_60,momentum_20|momentum_60|volatility_20|volume_change_20,rolling_icir_weight,0.05336646959814528,0.2615258863155568,0.20405807757689184,-0.49664112055136755,-1.164332321934591,446.5103836529305,0.44651038365293044,-0.45197432421866873
drop_momentum,volatility_20|volatility_60|volume_change_20,rolling_icir_weight,0.08759534355309206,0.23447912228237833,0.37357417027347456,-0.38691897259297003,-0.7319290231193721,466.50512316880605,0.4665051231688061,-0.3361916265706918
low_correlation_core,volatility_20|momentum_20|volume_change_20,rolling_icir_weight,0.043788940920437724,0.25394129587116615,0.172437258659393,-0.47932898510783983,-1.2761245525700744,477.42803559466466,0.4774280355946647,-0.5030130210768367
