factor_name,variant,scope,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity
momentum_20,raw,full,1,-0.013062215629811743,-0.03923595044340227,0.1877833182319799,0.17852732710111058,-0.06956004267469175,-0.21977560007483132,0.48200312989045385,-3.045586201742903,0.0023222719855704455,1917,-0.0006975188863616104,0.25
momentum_20,raw,full,5,-0.0357625103365984,-0.0565645675499566,0.17048169610098768,0.16662233532907575,-0.20977331381906172,-0.339477702303492,0.4225352112676056,-9.184622169498251,0.0,1917,-0.0051480812783958494,0.0
momentum_20,raw,full,10,-0.04149239606234921,-0.06571806828581946,0.1608310041608852,0.1575320054956965,-0.25798754586424666,-0.41717280294266784,0.3854602510460251,-11.280872357484617,0.0,1912,-0.009275046195453857,0.0
momentum_20,raw,full,20,-0.04194898210568003,-0.07067222373344914,0.1553208313640298,0.15830247498203176,-0.27007956200905864,-0.4464378951843352,0.37276550998948477,-11.778689595542426,0.0,1902,-0.013769017694853149,0.25
momentum_20,raw,full,40,-0.033407164588726224,-0.06226369190497904,0.15074799296994892,0.15899641803603753,-0.22160934902387605,-0.3916043686648751,0.40063761955366634,-9.613862081793531,0.0,1882,-0.01429473898944133,0.25
momentum_20,remove_bottom_20pct_ADV20,full,1,-0.01669452908903467,-0.04180837764633834,0.19509943219417727,0.18470326044692673,-0.08556933713891618,-0.22635430227476522,0.4700052164840897,-3.7465300833892066,0.0001792975100702865,1917,-0.001173660029829187,0.25
momentum_20,remove_bottom_20pct_ADV20,full,5,-0.04073479485254102,-0.06078172931317498,0.17994281190369774,0.1739649501454443,-0.22637633824651787,-0.3493906632477295,0.4162754303599374,-9.911561661757338,0.0,1917,-0.006371823139140689,0.25
momentum_20,remove_bottom_20pct_ADV20,full,10,-0.04591608339420876,-0.07035375034095774,0.16963745060280483,0.16417266370983793,-0.27067185477644506,-0.4285351090197475,0.39069037656903766,-11.835511804524858,0.0,1912,-0.010452630760500852,0.0
momentum_20,remove_bottom_20pct_ADV20,full,20,-0.04414089046163676,-0.07403122567182281,0.1659519227977652,0.16660412709748187,-0.2659860140061673,-0.444354092311929,0.3822292323869611,-11.60016208715994,0.0,1902,-0.014175694971034068,0.0
momentum_20,remove_bottom_20pct_ADV20,full,40,-0.03157088201169472,-0.06122510053838274,0.16221674888212473,0.16711151954665857,-0.19462159258681602,-0.3663727114951421,0.412327311370882,-8.443078586305818,0.0,1882,-0.012416963630265282,0.25
momentum_20,remove_extreme_1pct_each_tail,full,1,-0.011522836154735027,-0.039448448403582456,0.173708212880947,0.17718221246188254,-0.06633443499089096,-0.2226433898496953,0.47209181011997914,-2.9043576188341436,0.0036800754441292938,1917,-0.00044311356235639525,0.5
