test,factor_name,variant,horizon,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,Q5-Q1,monotonicity,robustness_conclusion
window_preprocess,volatility_10,mad_zscore,1,0.00593794229655479,0.0484423978465882,0.1690636498446633,0.17973434909880318,0.035122525167359205,0.26952220368271707,0.5127140633108459,1.5417948465188036,0.12312345479819897,1927,0.00022670660729617845,0.5,ROBUST
window_preprocess,volatility_10,mad_zscore,5,0.022226010493033858,0.07011385446378954,0.16107094416347656,0.17295687203855964,0.13798895020119767,0.405383455640653,0.5573430202387131,6.057384862933041,1.3835230738834525e-09,1927,0.002074488557834666,0.75,ROBUST
window_preprocess,volatility_10,mad_zscore,10,0.029116844106037286,0.07915272810797808,0.1579011143258174,0.17142566214032845,0.1843992313186391,0.46173208328157966,0.5655567117585848,8.084176708481783,6.661338147750939e-16,1922,0.003642591582584936,0.75,ROBUST
window_preprocess,volatility_10,mad_zscore,20,0.032257714854195374,0.08376901825965394,0.1575120513070531,0.17206199297124114,0.20479521780408008,0.486853702047118,0.577928870292887,8.95496216195938,0.0,1912,0.005873616815684954,0.75,ROBUST
window_preprocess,volatility_10,mad_zscore,40,0.03542526478397888,0.0888457421415271,0.15126452022949313,0.16240489280504525,0.23419414367779656,0.5470632110091638,0.571353065539112,10.186772256077555,0.0,1892,0.007353367767509392,0.5,ROBUST
window_preprocess,volatility_10,percentile_zscore,1,0.006431373763141461,0.04847008768289766,0.18685803872066026,0.1799610269234332,0.03441850191286615,0.2693365808782582,0.5132330046704723,1.5108899095749317,0.13081650212809537,1927,0.00022670660729617845,0.5,ROBUST
window_preprocess,volatility_10,percentile_zscore,5,0.023141219707591875,0.07049100131101842,0.17433797843550777,0.17325522927029902,0.13273768524367985,0.4068621859663697,0.5578619615983393,5.826866891613312,5.647762257865452e-09,1927,0.002074488557834666,0.75,ROBUST
window_preprocess,volatility_10,percentile_zscore,10,0.03048094510597461,0.07972763226219781,0.16718218090221437,0.17158589455079648,0.18232173394007256,0.4646514357775205,0.5655567117585848,7.993097934456319,1.3322676295501878e-15,1922,0.003642591582584936,0.75,ROBUST
window_preprocess,volatility_10,percentile_zscore,20,0.03244706514944353,0.08421658039120951,0.1660015169407033,0.17217462843090045,0.19546246171373124,0.4891346719241418,0.5847280334728033,8.546874128693766,0.0,1912,0.005873616815684954,0.75,ROBUST
window_preprocess,volatility_10,percentile_zscore,40,0.03698391532707055,0.0894104913669412,0.15845710813490094,0.16257990684085838,0.23340016590221152,0.5499479800690303,0.5946088794926004,10.152236504460301,0.0,1892,0.007353367767509392,0.5,ROBUST
window_preprocess,volatility_10,percentile_rank,1,0.0054488505806293205,0.048466274384149265,0.1645378144227838,0.17996639696929287,0.033116099176012936,0.269307355152634,0.5147898287493513,1.4537175445982127,0.14602463196258242,1927,0.00022670660729617845,0.5,ROBUST
window_preprocess,volatility_10,percentile_rank,5,0.020562018248262648,0.0704745411698042,0.15759409331669588,0.17325602608404525,0.13047454898542354,0.4067653100597927,0.5469641930461858,5.727520622991598,1.019090523080024e-08,1927,0.002074488557834666,0.75,ROBUST
window_preprocess,volatility_10,percentile_rank,10,0.027651454465255316,0.07971449311342683,0.15452091365670748,0.1715873774786799,0.1789495920706719,0.4645708459722309,0.5645161290322581,7.845261142711788,4.440892098500626e-15,1922,0.003642591582584936,0.75,ROBUST
window_preprocess,volatility_10,percentile_rank,20,0.030339095318176433,0.08420977294489672,0.15466842934726768,0.17217995380261297,0.19615570835117163,0.4890800066158385,0.5774058577405857,8.577187323863798,0.0,1912,0.005873616815684954,0.75,ROBUST
window_preprocess,volatility_10,percentile_rank,40,0.03258865968746534,0.08940149685292993,0.15042857829931836,0.16258488889127976,0.2166387534596078,0.549875806187084,0.5560253699788583,9.423163229776291,0.0,1892,0.007353367767509392,0.5,ROBUST
window_preprocess,volatility_20,mad_zscore,1,0.0036195801879971737,0.04517460576317445,0.176225799966903,0.19135459138505695,0.020539445351798476,0.2360779819088374,0.5169535732916014,0.8992900083088836,0.3684982080379817,1917,0.0001511651273528721,0.5,ROBUST
window_preprocess,volatility_20,mad_zscore,5,0.017158124103624578,0.06543085892992517,0.166495916195568,0.18206316893550897,0.10305432406804771,0.35938547764760875,0.5466875326030256,4.512085032486339,6.4193441229321024e-06,1917,0.0017971870059482853,0.5,ROBUST
window_preprocess,volatility_20,mad_zscore,10,0.022647116654041483,0.07246397211446468,0.16167579315519917,0.17961325321361302,0.14007734993637294,0.40344446090669983,0.5475941422594143,6.125081346517515,9.063727546276823e-10,1912,0.002892101762742873,0.75,ROBUST
window_preprocess,volatility_20,mad_zscore,20,0.02702610533359136,0.0786242719388119,0.16338388685263724,0.18007447142706928,0.16541475327960176,0.43662086755398294,0.5562565720294427,7.214055809740661,5.431211036466266e-13,1902,0.004522526253207464,0.5,ROBUST
window_preprocess,volatility_20,mad_zscore,40,0.03217528999898471,0.08938191107314486,0.15717475167893505,0.17077593043937028,0.20471029637578186,0.5233870536859857,0.5393198724760893,8.880746975470823,0.0,1882,0.0065655864385310275,0.25,ROBUST
window_preprocess,volatility_20,percentile_zscore,1,0.0027911615482907807,0.045204475624436684,0.19227439619018288,0.19158856475294517,0.014516553444432511,0.23594558309222777,0.5096504955659885,0.6355863677943466,0.5250460570709841,1917,0.0001511651273528721,0.5,ROBUST
window_preprocess,volatility_20,percentile_zscore,5,0.01556496583726177,0.06556505256578384,0.17977026509123586,0.18232628827742636,0.08658253815981379,0.3596028481971866,0.5519040166927491,3.7908916296186814,0.0001501074433252203,1917,0.0017971870059482853,0.5,ROBUST
window_preprocess,volatility_20,percentile_zscore,10,0.020979310575855,0.07257312733402363,0.17222392441453266,0.1797661244890146,0.12181414775660934,0.40370858269494775,0.5622384937238494,5.326496856949718,1.0012501205913793e-07,1912,0.002892101762742873,0.75,ROBUST
window_preprocess,volatility_20,percentile_zscore,20,0.02591525171140601,0.07881564503717531,0.171740229852482,0.18034184468789424,0.15089796801638253,0.4370347058031726,0.5678233438485805,6.580950859967123,4.674483022881759e-11,1902,0.004522526253207464,0.5,ROBUST
window_preprocess,volatility_20,percentile_zscore,40,0.03314601080077077,0.08977970261522603,0.16747755774491205,0.17117087367416783,0.19791314876501861,0.5245033847646656,0.5488841657810839,8.58587295518556,0.0,1882,0.0065655864385310275,0.25,ROBUST
window_preprocess,volatility_20,percentile_rank,1,0.003729906048533881,0.04520435213977606,0.17129293487405822,0.19159325661490814,0.02177501396234623,0.23593916058660827,0.5075639019300991,0.9533875989212023,0.34039372232192777,1917,0.0001511651273528721,0.5,ROBUST
window_preprocess,volatility_20,percentile_rank,5,0.016491214914411925,0.06556075285715492,0.16314308746707273,0.18233384559777416,0.10108436201895686,0.35956436196591274,0.5440792905581638,4.425833083752973,9.607079098028493e-06,1917,0.0017971870059482853,0.5,ROBUST
