factor_name,horizon,mean_ic,mean_rank_ic,icir,rank_icir,positive_ic_ratio,observations
momentum_20,1,-0.03257384970670757,-0.057908774774239585,-0.11653444509774044,-0.2766812744653157,0.4487534626038781,361
momentum_20,5,-0.058426457415088104,-0.06881941796489072,-0.23600095193215023,-0.3276780206472054,0.4265927977839335,361
momentum_20,10,-0.06305609626029607,-0.06716495381179283,-0.2746063975891956,-0.3297710441411066,0.4241573033707865,356
momentum_20,20,-0.08393389154679255,-0.08697625704962172,-0.4123324692781606,-0.44171259786567635,0.3872832369942196,346
momentum_20,40,-0.06826805219026466,-0.07750143774836045,-0.39319564042048144,-0.44272499740074106,0.37423312883435583,326
momentum_60,1,-0.025253747613024374,-0.04908027735275881,-0.09958632097245365,-0.23020879190044793,0.4487534626038781,361
momentum_60,5,-0.05341896859148763,-0.07364492579499289,-0.2253552653895474,-0.34234867622394816,0.4376731301939058,361
momentum_60,10,-0.06389958069959845,-0.09081189271877109,-0.2789759168873898,-0.4366433641706826,0.41292134831460675,356
momentum_60,20,-0.07236343890067737,-0.10778125277757317,-0.37736428021847807,-0.6095516589715848,0.3872832369942196,346
momentum_60,40,-0.07799252009547102,-0.11743719676448014,-0.4320237309025367,-0.619523025421025,0.32515337423312884,326
volatility_20,1,0.013410197715676569,0.056128911790351926,0.049630835271792725,0.2225234950627038,0.5263157894736842,361
volatility_20,5,0.04630629209053159,0.0705544895412923,0.18351652552213013,0.28955240995586035,0.5734072022160664,361
volatility_20,10,0.05749398272089856,0.07001067599774956,0.23830675308697333,0.2929293878583578,0.5955056179775281,356
volatility_20,20,0.05546738510700535,0.05333749246690622,0.2490980931211301,0.22507668000475978,0.5635838150289018,346
volatility_20,40,0.026733615808759947,0.05723288863987535,0.11325129262949563,0.2223805734878888,0.5429447852760736,326
volatility_60,1,0.007637340501293765,0.0421012298303432,0.02877707087381156,0.15134543301537032,0.5152354570637119,361
volatility_60,5,0.029643229842062545,0.05427809555860541,0.11255149783921546,0.20204477607258042,0.5844875346260388,361
volatility_60,10,0.028986432797392873,0.051447484616275845,0.1106171066962154,0.19775719907365422,0.5533707865168539,356
volatility_60,20,0.019239533966447436,0.04776087295567304,0.07694903824448746,0.17951908770409716,0.5260115606936416,346
volatility_60,40,0.010697878056486816,0.045984836175415995,0.04676464068660439,0.1664415897268353,0.49693251533742333,326
volume_change_20,1,-0.04760182277342197,-0.05843889978742911,-0.196723538896605,-0.3334405200432301,0.3961218836565097,361
volume_change_20,5,-0.04415371934797741,-0.05667908128374936,-0.19574629641548852,-0.30915688490676263,0.4265927977839335,361
volume_change_20,10,-0.05533385618306758,-0.05516729160449373,-0.2865888953989653,-0.3270611724351076,0.3398876404494382,356
volume_change_20,20,-0.059898933522352364,-0.06611882996413433,-0.3566216693439571,-0.4189904710239904,0.3439306358381503,346
volume_change_20,40,-0.04660784378697235,-0.05777226320591538,-0.2847093034504259,-0.34271056492558427,0.3343558282208589,326
