year,factor_name,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations
2024,momentum_20,-0.07695470752219251,-0.07658019489491845,0.22816650172519407,0.20720275843735236,-0.33727434544654367,-0.36959061487626105,0.4065040650406504,-3.740553440850234,0.0001836154991163852,123
2025,momentum_20,-0.04885093320007196,-0.0648085962741621,0.25696326631354455,0.21178550633276874,-0.19010862486649915,-0.3060105358311506,0.4369747899159664,-2.9328530207247425,0.0033586285022368934,238
2024,momentum_60,-0.04916346568843202,-0.061227840688031665,0.21398611593282355,0.23471698631691446,-0.22975072692971288,-0.2608581579407378,0.44715447154471544,-2.548058824388082,0.010832420357243633,123
2025,momentum_60,-0.05561824110020964,-0.08006215885447288,0.2485270824076003,0.20447603489135252,-0.2237914699734501,-0.3915478843132574,0.4327731092436975,-3.4524866464368653,0.000555444968159513,238
2024,volatility_20,0.04609459194686391,0.0585998889130941,0.2274801638386724,0.22125011292189925,0.20263125878331056,0.2648581197957613,0.5853658536585366,2.2472893728759997,0.024621539605029774,123
2025,volatility_20,0.046415700147973284,0.07673270751300817,0.26471667956519085,0.25470934188673605,0.17534104849083623,0.3012559607928696,0.5672268907563025,2.7050299484545555,0.006829823166849325,238
2024,volatility_60,0.04379754015243688,0.05439008674770027,0.23535012356265156,0.24329243392254907,0.18609525029961466,0.22355848010059812,0.6097560975609756,2.0638961671172744,0.03902756224331405,123
2025,volatility_60,0.02232818711863379,0.05422021775919925,0.27694038606136157,0.2813447621695642,0.08062452514125745,0.19271806356402385,0.5714285714285714,1.2438145942672785,0.21356780781762108,238
2024,volume_change_20,-0.05906164871625046,-0.07904644585844346,0.2130419635410913,0.169060754143815,-0.27723011811641846,-0.4675623639487671,0.42276422764227645,-3.0746307456463344,0.002107633187237834,123
2025,volume_change_20,-0.03644920122908,-0.045119476902709975,0.23183502793701458,0.18960150438171716,-0.1572204233045517,-0.23797003641844913,0.42857142857142855,-2.425478558546098,0.015288218809603737,238
