factor_name,period,Q1,Q2,Q3,Q4,Q5,Q5-Q1,monotonic_increasing
momentum_20,1,0.0024716393522209727,0.002144788858383435,0.0013013830495159859,0.0016757819527931002,0.0014068754886508343,-0.0010647638635701397,False
momentum_20,5,0.01166302127525689,0.00972307047517046,0.009153965606047042,0.010468227325024088,0.005569451543790286,-0.006093569731466606,False
momentum_20,10,0.018940843315259002,0.01836371503060536,0.020376059671680116,0.02121083837414639,0.01106105506851047,-0.00787978824674855,False
momentum_20,20,0.04533631949937576,0.0402044122090402,0.03725769990060713,0.036504213542300136,0.02449905786151196,-0.020837261637863785,False
momentum_20,40,0.08579963001322637,0.07938602251009962,0.07660419863562484,0.08492969915382828,0.06253960176961396,-0.02326002824361244,False
momentum_60,1,0.001959970995933812,0.002134153456928715,0.0012746087943939271,0.001926905293790531,0.001641954356453836,-0.00031801663947997615,False
momentum_60,5,0.00997991300343621,0.009844323245525125,0.008969688502252113,0.010912736466765013,0.0065607387663134155,-0.003419174237122792,False
momentum_60,10,0.017093609564146076,0.019080078032634413,0.01942850880948989,0.021681787193150347,0.012465757023766061,-0.004627852540379996,False
momentum_60,20,0.03252694967791454,0.041804855182231766,0.039039507195487634,0.04402037049534314,0.025437954556656137,-0.007088995121258399,False
momentum_60,40,0.06850477652792235,0.08767975908505704,0.08430515172800218,0.08893769938057651,0.05821403403943517,-0.010290742488487232,False
volatility_20,1,0.0017917334306206628,0.0020671981525703276,0.002065911205387363,0.0014006203793530717,0.0015639591659940251,-0.0002277742646266386,False
volatility_20,5,0.006752917264695596,0.011341979577056955,0.010294096075716401,0.010082214129995343,0.0075735171239660086,0.0008205998592704185,False
volatility_20,10,0.009964230284431216,0.026374096649489122,0.020239525340916158,0.019634460300523834,0.012702002158602895,0.002737771874171674,False
volatility_20,20,0.02333694184694656,0.058841938998890134,0.03754837970480134,0.03955984797165004,0.022727438925582037,-0.0006095029213645807,False
volatility_20,40,0.07489940789756638,0.10450385600137224,0.0797672597856906,0.08049644364728911,0.04908916920584559,-0.025810238691720843,False
volatility_60,1,0.0016911674509308809,0.002853733656106068,0.001079392416689808,0.002052400914795081,0.0012114590920446076,-0.00047970835888627364,False
volatility_60,5,0.008042135649750303,0.013520841375306106,0.007505116600574384,0.009978395312358772,0.00714977793456326,-0.0008923577151870526,False
volatility_60,10,0.01611825895981265,0.024326320139382213,0.017654868714956765,0.018467732741178175,0.013234599355346053,-0.0028836596044666232,False
volatility_60,20,0.03681536859519951,0.049141949680146596,0.03726076102126855,0.036564298183105595,0.023920634249768247,-0.012894734345431261,False
volatility_60,40,0.07279973624960068,0.10662261933358515,0.07451541319502396,0.08535888222526407,0.05001855535486355,-0.02278118089473712,False
volume_change_20,1,0.0021632735869675495,0.0028232995558965966,0.0020012687169527984,0.0012711833906564642,0.0007241666867045732,-0.0014391069002629767,False
volume_change_20,5,0.009305974676944627,0.01162818602159477,0.009497596459942003,0.008528786008687107,0.007409373235238529,-0.0018966014417061035,False
volume_change_20,10,0.01770960366138059,0.02007640798578514,0.01989192335774676,0.019290497336970885,0.01272565896020638,-0.004983944701174216,False
volume_change_20,20,0.03832695317841527,0.04304210437139257,0.04130791909800158,0.03635411073979626,0.024340865992256603,-0.013986087186158637,False
volume_change_20,40,0.09035504612536889,0.08311249567047166,0.07550082019706311,0.07706006692686516,0.06358614515013178,-0.026768900975237143,False
