factor_name,horizon,Q1,Q2,Q3,Q4,Q5,Q5-Q1,monotonicity
momentum_20,1,0.0008198823824660868,0.0007758022916502176,0.0008236634185495123,0.0007655802641317451,0.00012236349610447307,-0.0006975188863616138,0.25
momentum_20,5,0.005031113432372601,0.0047930818899750045,0.004467930644655958,0.003799565637100857,-0.00011696784602324858,-0.005148081278395854,0.0
momentum_20,10,0.010148010163283122,0.00974957892475459,0.00851346092901144,0.006913507997217142,0.0008729639678292444,-0.009275046195453862,0.0
momentum_20,20,0.018464753457253097,0.018746362779873536,0.01685950883691462,0.011899775379902304,0.004695735762399969,-0.013769017694853156,0.25
momentum_60,1,0.0009400684642707688,0.0008591608490862334,0.0007403178063999555,0.000698463539305704,0.00022148147226811417,-0.0007185869920026536,0.0
momentum_60,5,0.0054253413904179785,0.004276238933963309,0.004056874114396116,0.0031023389031815613,0.0009059819630159862,-0.004519359427401988,0.0
momentum_60,10,0.01063011048317981,0.008267739841048458,0.007436582524867923,0.006207406982221531,0.0020283491794133458,-0.008601761303766468,0.0
momentum_60,20,0.0194098765870783,0.01621330315781714,0.014823586891431383,0.012352676596351477,0.0058263999707743805,-0.013583476616303916,0.0
volatility_20,1,0.0005791340244055361,0.0006211936604789896,0.0005012837921622412,0.0008538329092092672,0.0007302991517584117,0.00015116512735287408,0.5
volatility_20,5,0.002023408844555721,0.003985847854253709,0.0032373993210029596,0.004794078700559251,0.003820595850504007,0.0017971870059482903,0.5
volatility_20,10,0.004834811041615674,0.007238699944461973,0.007285594502251568,0.008938982215985967,0.007726912804358549,0.00289210176274288,0.75
volatility_20,20,0.00965277459943666,0.01487725627327208,0.016098887489523983,0.015641141690053123,0.014175300852644134,0.004522526253207471,0.5
volatility_60,1,0.0007191344793014525,0.0007063622261493576,0.0005016714112854099,0.0008003694444426253,0.0007234015634792901,4.2670841778368074e-06,0.25
volatility_60,5,0.0030484685955288423,0.003852210609058055,0.003027222898605099,0.004029945032680233,0.0037557597772847656,0.0007072911817559187,0.5
volatility_60,10,0.006174459911550391,0.00697403104247856,0.006264402147631306,0.0076829696142814465,0.007389197027262053,0.0012147371157116733,0.5
volatility_60,20,0.013484529528368356,0.014150428565340234,0.012691566683886091,0.014261497912265166,0.01395793929439738,0.00047340976602901365,0.5
volume_change_20,1,0.0006406724183390481,0.000958597463011286,0.0010132911668855895,0.0009071282247011735,-0.0002251511875945416,-0.0008658236059335898,0.5
volume_change_20,5,0.0033896213178616174,0.004604231723268453,0.004445617570881952,0.0044409036510393895,0.0007024129363974992,-0.0026872083814641176,0.25
volume_change_20,10,0.006490744175792805,0.009412422738134271,0.008615027431268503,0.008425434641100125,0.002702155067462296,-0.0037885891083305145,0.25
volume_change_20,20,0.013468590971108755,0.016936590003394692,0.015691877940910787,0.0157779221681988,0.008341821692461173,-0.0051267692786475935,0.5
