fold,method,train_start,train_end,test_start,test_end,is_annualized_return,is_volatility,is_sharpe,is_max_drawdown,is_information_ratio,is_turnover,is_transaction_cost,is_benchmark_excess_return,annualized_return,volatility,sharpe,max_drawdown,information_ratio,turnover,transaction_cost,benchmark_excess_return,train_weights
0,equal_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,-0.13610440352134545,0.27818763894382065,-0.4892539583645247,-0.5062065380593858,-1.7806433025984647,207.8993094651251,0.20789930946512508,-0.7297947777832585,0.6800148938240236,0.18364973783294658,3.7027817292207947,-0.0730686268660774,-0.18217901493957006,37.198802441389034,0.03719880244138904,-0.009405960703180338,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
0,static_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,-0.13610440352134545,0.27818763894382065,-0.4892539583645247,-0.5062065380593858,-1.7806433025984647,207.8993094651251,0.20789930946512508,-0.7297947777832585,0.6800148938240236,0.18364973783294658,3.7027817292207947,-0.0730686268660774,-0.18217901493957006,37.198802441389034,0.03719880244138904,-0.009405960703180338,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
0,rolling_ic_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,0.051392451577250586,0.38567277108545117,0.1332540314749466,-0.4849850848947783,-0.08173887273071596,239.45352524280767,0.23945352524280766,-0.03605393591333189,0.4870411203078375,0.19908484380091093,2.4463997912110726,-0.10575344617275728,-1.2888084341546,41.85971902201741,0.0418597190220174,-0.06907230817450424,"{'momentum_20': -0.21837760374100515, 'momentum_60': -0.09863229577458789, 'volatility_20': -0.06111967720022615, 'volatility_60': -0.0895488513025747, 'volume_change_20': -0.5323215719816061}"
0,rolling_icir_weight,2018-01-29,2021-03-12,2021-03-15,2021-09-13,0.03874736303178472,0.3778655832712243,0.1025427155771756,-0.47606899057689067,-0.19233384883774957,251.43786074860725,0.2514378607486073,-0.08113688907644606,0.5271225892387399,0.1981219753898516,2.660596272581586,-0.10160546847382812,-1.0606391260876764,44.51728666700243,0.04451728666700243,-0.05584612428507091,"{'momentum_20': -0.2001234647063913, 'momentum_60': -0.09478485176854552, 'volatility_20': -0.05167103915399608, 'volatility_60': -0.07630424862529141, 'volume_change_20': -0.5771163957457757}"
1,equal_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,0.07098958241781061,0.26242622520540737,0.2705125311399246,-0.298772524555897,-1.4931757549143976,206.92225934032746,0.20692225934032749,-0.5859316138245774,-0.24574825708217185,0.21364014836907075,-1.150290612313343,-0.17815771439666472,-1.7472469675084552,36.18379646399839,0.03618379646399839,-0.10241125794674244,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
1,static_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,0.07098958241781061,0.26242622520540737,0.2705125311399246,-0.298772524555897,-1.4931757549143976,206.92225934032746,0.20692225934032749,-0.5859316138245774,-0.24574825708217185,0.21364014836907075,-1.150290612313343,-0.17815771439666472,-1.7472469675084552,36.18379646399839,0.03618379646399839,-0.10241125794674244,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
1,rolling_ic_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,0.22425947965402604,0.3486121706608254,0.6432921697166287,-0.30581586158308827,-0.2598033862244682,256.52635526454117,0.25652635526454115,-0.10833361131899788,-0.2554746348389568,0.27420374444703527,-0.9316963754603427,-0.2761979704187709,-2.1514937313444533,44.709307317280306,0.04470930731728034,-0.1014765647240935,"{'momentum_20': -0.18145421906563838, 'momentum_60': -0.08573811900885862, 'volatility_20': -0.03759187369328196, 'volatility_60': -0.08968682345709421, 'volume_change_20': -0.6055289647751269}"
1,rolling_icir_weight,2018-08-07,2021-09-13,2021-09-14,2022-03-25,0.18315954126355205,0.34596993910759727,0.5294088316921347,-0.3068074103370507,-0.5239897996437682,268.3566875394242,0.26835668753942415,-0.21349428397037673,-0.25030000619233195,0.2728272500093653,-0.9174303746555372,-0.27102333999182804,-2.126823642404913,46.4593690202832,0.046459369020283206,-0.09821622976481348,"{'momentum_20': -0.15888716311210385, 'momentum_60': -0.07763032806353114, 'volatility_20': -0.032823827475832186, 'volatility_60': -0.08063665101501288, 'volume_change_20': -0.6500220303335199}"
2,equal_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,0.09429015626413206,0.2520868505334619,0.3740383763159278,-0.2987725245558972,-1.1756259400050195,211.41922069794285,0.2114192206979429,-0.4473228939719627,-0.19413394408331508,0.2425792789902294,-0.8002907127575987,-0.17823548908407527,-1.4944617460813663,36.814686887084505,0.03681468688708449,-0.08503802744718046,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
2,static_weight,2019-02-18,2022-03-25,2022-03-28,2022-09-28,0.09429015626413206,0.2520868505334619,0.3740383763159278,-0.2987725245558972,-1.1756259400050195,211.41922069794285,0.2114192206979429,-0.4473228939719627,-0.19413394408331508,0.2425792789902294,-0.8002907127575987,-0.17823548908407527,-1.4944617460813663,36.814686887084505,0.03681468688708449,-0.08503802744718046,"{'momentum_20': 0.2, 'momentum_60': 0.2, 'volatility_20': 0.2, 'volatility_60': 0.2, 'volume_change_20': 0.2}"
