factor_name,period,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations
momentum_20,1,-0.013062215629811776,-0.03923595044340227,0.1877833182319799,0.1785273271011106,-0.06956004267469192,-0.21977560007483127,0.48200312989045385,-3.045586201742911,0.0023222719855702234,1917
momentum_20,5,-0.035762510336598406,-0.0565645675499566,0.17048169610098768,0.16662233532907575,-0.20977331381906175,-0.339477702303492,0.4225352112676056,-9.184622169498253,0.0,1917
momentum_20,10,-0.041492396062349224,-0.06571806828581946,0.1608310041608852,0.1575320054956965,-0.2579875458642467,-0.41717280294266784,0.3854602510460251,-11.28087235748462,0.0,1912
momentum_20,20,-0.041948982105680044,-0.07067222373344914,0.1553208313640298,0.15830247498203176,-0.27007956200905875,-0.4464378951843352,0.37276550998948477,-11.77868959554243,0.0,1902
momentum_20,40,-0.03340716458872623,-0.06226369190497904,0.15074799296994892,0.15899641803603756,-0.22160934902387608,-0.391604368664875,0.40063761955366634,-9.613862081793535,0.0,1882
momentum_60,1,-0.009485624485803206,-0.03197666542865363,0.1868753202362584,0.17642310555742943,-0.05075910759008167,-0.181249872728516,0.4922749067661161,-2.1991057512707224,0.02787040368899607,1877
momentum_60,5,-0.028063144643726463,-0.05168753204194955,0.17213454990333663,0.16747898450885249,-0.1630302845041017,-0.3086210021724695,0.43153969099627065,-7.06318241801255,1.6273649094955545e-12,1877
momentum_60,10,-0.035036422373799246,-0.06305842920458736,0.16551361601497225,0.16178054501210332,-0.21168302171967457,-0.3897775792501488,0.4027777777777778,-9.158807867465327,0.0,1872
momentum_60,20,-0.03957830507366774,-0.0687907509856543,0.16255046188999284,0.15948042155422984,-0.24348319047196948,-0.43134292169062677,0.39473684210526316,-10.506518321830796,0.0,1862
momentum_60,40,-0.04153670621364646,-0.06910928248783937,0.1489928848243274,0.15104421256010542,-0.2787831530520469,-0.4575433994886665,0.40553745928338764,-11.964962411810191,0.0,1842
volatility_20,1,0.002791161548290793,0.045204475624436684,0.19227439619018283,0.19158856475294517,0.014516553444432579,0.23594558309222777,0.5096504955659885,0.6355863677943495,0.5250460570709821,1917
volatility_20,5,0.015564965837261784,0.06556505256578384,0.17977026509123584,0.18232628827742633,0.08658253815981388,0.35960284819718663,0.5519040166927491,3.7908916296186854,0.0001501074433252203,1917
volatility_20,10,0.02097931057585501,0.07257312733402363,0.17222392441453266,0.1797661244890146,0.1218141477566094,0.40370858269494775,0.5622384937238494,5.326496856949721,1.0012501205913793e-07,1912
volatility_20,20,0.025915251711406014,0.07881564503717531,0.171740229852482,0.18034184468789421,0.15089796801638253,0.43703470580317266,0.5678233438485805,6.580950859967124,4.674483022881759e-11,1902
volatility_20,40,0.03314601080077078,0.08977970261522603,0.16747755774491205,0.17117087367416783,0.19791314876501864,0.5245033847646656,0.5488841657810839,8.585872955185563,0.0,1882
volatility_60,1,0.00027616033238533953,0.03839189133732795,0.1933428463456082,0.20286292621813196,0.0014283452302739546,0.1892504069277123,0.5066595631326585,0.06188214016806958,0.9506566903174287,1877
volatility_60,5,0.009823361408183327,0.05706261317532772,0.187784335031804,0.1981665236826517,0.05231193223076674,0.28795283943472244,0.5226425146510388,2.2663808819846576,0.023428073101485758,1877
volatility_60,10,0.015056049197125648,0.06680104114291695,0.18392308579859248,0.1974810092213206,0.08186057303112554,0.33826564592877784,0.531517094017094,3.5418299220310527,0.0003973615926748941,1872
volatility_60,20,0.021275213044882835,0.07730909693091984,0.18912079987120173,0.1996841554535989,0.11249536306620976,0.387156891618696,0.5467239527389903,4.854275939480957,1.208273951558425e-06,1862
volatility_60,40,0.02689884350538276,0.08479884669561,0.18387542318993733,0.1861655192598908,0.14628841113582172,0.45550243156053566,0.5580890336590663,6.2784831915462505,3.418918481656874e-10,1842
volume_change_20,1,-0.027278303995436737,-0.04186841964067201,0.15321219655313845,0.12868945397705922,-0.17804264026706143,-0.32534460553493116,0.40875912408759124,-7.797373314313266,6.217248937900877e-15,1918
volume_change_20,5,-0.03668282708212834,-0.037250316255990644,0.1327862891601886,0.11926016348616669,-0.27625462925525013,-0.31234500412462884,0.3931178310740355,-12.098565101479807,0.0,1918
volume_change_20,10,-0.03704588623019212,-0.03556174969558654,0.12234137523005519,0.11615954200893974,-0.30280750204523765,-0.3061457464497379,0.35441714584422374,-13.244150755827985,0.0,1913
volume_change_20,20,-0.03357419938988212,-0.036879277391015666,0.11646033071570903,0.11464395838789374,-0.28828871757062063,-0.32168531084940344,0.3625853914871256,-12.576130646713652,0.0,1903
volume_change_20,40,-0.030148899928485153,-0.030263636554105647,0.10487860034133235,0.11181840722191844,-0.2874647433352861,-0.2706498626298929,0.35422198619224643,-12.47411511163528,0.0,1883
