method,annualized_return,volatility,sharpe,max_drawdown,information_ratio,turnover,transaction_cost,benchmark_excess_return
equal_weight,-0.009858592591790671,0.21634343535055517,-0.04556917835670012,-0.479791858308218,-1.3506879506148843,323.51830516931943,0.3235183051693194,-0.78889302900026
static_weight,-0.009858592591790671,0.21634343535055517,-0.04556917835670012,-0.479791858308218,-1.3506879506148843,323.51830516931943,0.3235183051693194,-0.78889302900026
rolling_ic_weight,0.05292134985712771,0.25117947139447266,0.2106913815978843,-0.4846156421159775,-1.1220634192670669,398.830403415045,0.39883040341504505,-0.46655914244133506
rolling_icir_weight,0.05805081554723657,0.2507152982537056,0.23154077932848507,-0.4766592452926801,-1.0841253214413746,424.7849230469726,0.4247849230469726,-0.4446155134632678
