date,factor_name,window,rolling_mean_rank_ic
2018-01-30,momentum_20,60,
2018-01-31,momentum_20,60,
2018-02-01,momentum_20,60,
2018-02-02,momentum_20,60,
2018-02-05,momentum_20,60,
2018-02-06,momentum_20,60,
2018-02-07,momentum_20,60,
2018-02-08,momentum_20,60,
2018-02-09,momentum_20,60,
2018-02-12,momentum_20,60,
2018-02-13,momentum_20,60,
2018-02-14,momentum_20,60,
2018-02-22,momentum_20,60,
2018-02-23,momentum_20,60,
2018-02-26,momentum_20,60,
2018-02-27,momentum_20,60,
2018-02-28,momentum_20,60,
2018-03-01,momentum_20,60,
2018-03-02,momentum_20,60,
2018-03-05,momentum_20,60,
2018-03-06,momentum_20,60,
2018-03-07,momentum_20,60,
2018-03-08,momentum_20,60,
2018-03-09,momentum_20,60,
2018-03-12,momentum_20,60,
2018-03-13,momentum_20,60,
2018-03-14,momentum_20,60,
2018-03-15,momentum_20,60,
2018-03-16,momentum_20,60,
2018-03-19,momentum_20,60,
2018-03-20,momentum_20,60,
2018-03-21,momentum_20,60,
2018-03-22,momentum_20,60,
2018-03-23,momentum_20,60,
2018-03-26,momentum_20,60,
2018-03-27,momentum_20,60,
2018-03-28,momentum_20,60,
2018-03-29,momentum_20,60,
2018-03-30,momentum_20,60,
2018-04-02,momentum_20,60,
2018-04-03,momentum_20,60,
2018-04-04,momentum_20,60,
2018-04-09,momentum_20,60,
2018-04-10,momentum_20,60,
2018-04-11,momentum_20,60,
2018-04-12,momentum_20,60,
2018-04-13,momentum_20,60,
2018-04-16,momentum_20,60,
2018-04-17,momentum_20,60,
2018-04-18,momentum_20,60,
2018-04-19,momentum_20,60,
2018-04-20,momentum_20,60,
2018-04-23,momentum_20,60,
2018-04-24,momentum_20,60,
2018-04-25,momentum_20,60,
2018-04-26,momentum_20,60,
2018-04-27,momentum_20,60,
2018-05-02,momentum_20,60,
2018-05-03,momentum_20,60,
2018-05-04,momentum_20,60,-0.05825519248229754
2018-05-07,momentum_20,60,-0.05993505211026209
2018-05-08,momentum_20,60,-0.06000578094004889
2018-05-09,momentum_20,60,-0.05897659566326629
2018-05-10,momentum_20,60,-0.05825642077572592
2018-05-11,momentum_20,60,-0.05532498212768366
2018-05-14,momentum_20,60,-0.0521559715163707
2018-05-15,momentum_20,60,-0.04742429414287955
2018-05-16,momentum_20,60,-0.04786607824498162
2018-05-17,momentum_20,60,-0.04277181922762101
2018-05-18,momentum_20,60,-0.0365753736032524
2018-05-21,momentum_20,60,-0.02581745839194018
2018-05-22,momentum_20,60,-0.018656997038736228
2018-05-23,momentum_20,60,-0.012690380458560595
2018-05-24,momentum_20,60,-0.00850438818412524
