year,factor_name,mean_ic,mean_rank_ic,ic_std,rank_ic_std,icir,rank_icir,positive_ic_ratio,t_stat,p_value,observations,effective_trading_days,average_cross_section_size
2020,momentum_60,0.013234605369682838,-0.02350629266110306,0.169624660565892,0.16120669705124227,0.07802288491266725,-0.14581461621058575,0.5432098765432098,1.2162564073965498,0.2238872619850274,243,243,127.7201646090535
2021,momentum_60,-0.034965176937746686,-0.0643146930754912,0.20452995046662975,0.19047934206958306,-0.17095382293876543,-0.3376465519919568,0.3868312757201646,-2.6649063637026797,0.007700976204147558,243,243,149.43621399176953
2022,momentum_60,-0.03693733519548258,-0.04424632102816414,0.15900465883242645,0.15499368524577165,-0.23230347756294675,-0.2854717658851925,0.4462809917355372,-3.613794014115486,0.0003017488219247966,242,242,167.89669421487602
2023,momentum_60,-0.01493534254387818,-0.02526506599303514,0.1695525087185502,0.1496146822440664,-0.08808682724164346,-0.16886755774289747,0.4628099173553719,-1.370309443267028,0.17059032649600248,242,242,182.19421487603304
2024,momentum_60,-0.07562286002579857,-0.09629555038214199,0.1791842125344476,0.21512013621322518,-0.4220397486818785,-0.44763615381265237,0.33884297520661155,-6.565397700910896,5.189404461702907e-11,242,242,191.9793388429752
2025,momentum_60,-0.011859088776697573,-0.07666604994711623,0.16079122872367205,0.13250194318780645,-0.07375457523916322,-0.5786032121691289,0.46218487394957986,-1.1378301691170059,0.25519140474173785,238,238,197.96638655462183
2018,volatility_20,-0.002753988490877612,0.044455459610430105,0.22939199040538832,0.19637180572162624,-0.012005600047371673,0.22638412600559119,0.4798206278026906,-0.17928184081755605,0.8577164047701478,223,223,113.8609865470852
2019,volatility_20,0.005536655185076863,0.05192800489966381,0.1811545368191072,0.16855229361438492,0.030563160505361887,0.30808245788968647,0.5491803278688525,0.4774118288633714,0.6330688926650316,244,244,121.22950819672131
2020,volatility_20,-0.0006625406984327193,0.04380566964034862,0.1707756672288529,0.18551358270896615,-0.003879596602862997,0.23613187239810354,0.5102880658436214,-0.06047692586127294,0.9517757927006634,243,243,130.21399176954733
2021,volatility_20,0.019929644824816222,0.07172989095883016,0.13587083425437724,0.14358360165927747,0.14668081589536694,0.49956882352794374,0.5925925925925926,2.2865276306378886,0.02222340956738522,243,243,153.20164609053498
2022,volatility_20,0.035126045139348756,0.06629344584632661,0.15505090007596062,0.15455458510758463,0.22654525141189275,0.4289322494067717,0.5867768595041323,3.524217037417134,0.00042473619318039724,242,242,170.0495867768595
2023,volatility_20,0.027782750454436088,0.09610779417329207,0.1799166569806001,0.16358225517505035,0.15442011273826536,0.5875196797503894,0.5454545454545454,2.402213195114009,0.016296207798915052,242,242,184.61570247933884
2024,volatility_20,0.03744328880274031,0.07855801008588494,0.19620638860785178,0.23057011248145184,0.19083623662008478,0.3407120256846148,0.6074380165289256,2.968715134224015,0.002990476856242985,242,242,192.9917355371901
2025,volatility_20,0.0005635476960819828,0.07023918205391351,0.17669670136743,0.19865023549331384,0.0031893504050770015,0.35358217361024785,0.5378151260504201,0.04920290163714769,0.9607575988972661,238,238,198.6638655462185
2018,volatility_60,0.008992655485703728,0.06438066521768465,0.2447535257413685,0.21829026174730995,0.036741679035938724,0.2949314582443943,0.4972677595628415,0.4970322213333145,0.619166329524947,183,183,112.95628415300547
2019,volatility_60,-0.01722977344056338,0.034956618445291514,0.17713866527917843,0.1696319638234008,-0.09726715177292597,0.20607329926147583,0.4385245901639344,-1.5193614812217169,0.12867153198893932,244,244,120.24180327868852
2020,volatility_60,0.00383417529568213,0.04099693036710818,0.1759449586182078,0.20079069141511552,0.0217919020004552,0.20417744507065297,0.5267489711934157,0.33970213312515235,0.7340808551790954,243,243,127.7201646090535
2021,volatility_60,0.014940265268630447,0.05762917226551114,0.1452984332196689,0.15578690608349902,0.10282468253489742,0.3699230809206964,0.5761316872427984,1.6028781698032426,0.10896155419413867,243,243,149.43621399176953
2022,volatility_60,0.021635704179207127,0.06340330572045755,0.18075967391580938,0.18013014758720283,0.11969320208712134,0.35198608655868313,0.5619834710743802,1.8619892468701769,0.06260460595676554,242,242,167.89669421487602
2023,volatility_60,0.02807949645892262,0.08863312231319807,0.1763202859601527,0.17828307185408304,0.15925278425006872,0.49714827880989415,0.5454545454545454,2.4773919206533597,0.013234648530399351,242,242,182.19421487603304
2024,volatility_60,0.035348264776107016,0.0691386763658346,0.2155720011471615,0.25656645209074685,0.1639742851019707,0.2694766825609002,0.5578512396694215,2.5508412365880346,0.010746326658733318,242,242,191.9793388429752
2025,volatility_60,-0.017439872094955747,0.039096344916804984,0.18160225510674027,0.21025327527037335,-0.0960333454268237,0.18594880325421512,0.47058823529411764,-1.4815302957619525,0.13846531798621142,238,238,197.96638655462183
2018,volume_change_20,-0.04847114598380938,-0.02019427669139132,0.1355377491181456,0.131541049974422,-0.35762100447424455,-0.1535207199221693,0.3705357142857143,-5.352381092226296,8.680434349095378e-08,224,224,113.87946428571429
2019,volume_change_20,-0.05071811242762595,-0.04515512527519902,0.13258403670515242,0.1113853070355199,-0.3825355879035094,-0.40539570682154163,0.3770491803278688,-5.9753969028922915,2.295306611443948e-09,244,244,121.25819672131148
2020,volume_change_20,-0.03927051402372593,-0.0345127754577713,0.15756516780136315,0.13434232475028635,-0.2492334731825557,-0.2569017286393039,0.3950617283950617,-3.8851653464913753,0.00010226026687654155,243,243,130.27572016460906
2021,volume_change_20,0.0019377247862574051,-0.012592904542495191,0.11513314916963979,0.11465224959017119,0.016830294317775652,-0.10983565161180009,0.5020576131687243,0.2623583237825269,0.7930452003572461,243,243,153.3045267489712
2022,volume_change_20,-0.019091033714221748,-0.026842515813655543,0.11743790027367704,0.10416887288277567,-0.16256279846397154,-0.2576826941754686,0.4256198347107438,-2.5288836575757996,0.011442595021161406,242,242,170.09504132231405
2023,volume_change_20,-0.028407893016949536,-0.04916726502688551,0.14081539643701235,0.10867217570982236,-0.2017385437653941,-0.4524365570647309,0.4462809917355372,-3.1383152311106035,0.0016992202657399869,242,242,184.67355371900825
2024,volume_change_20,-0.054665492639286384,-0.05247855756832933,0.12684914840034536,0.1280040327634308,-0.43094883433318776,-0.40997581431920177,0.30165289256198347,-6.703990548231572,2.028022194622281e-11,242,242,193.01652892561984
2025,volume_change_20,-0.056005247640556775,-0.056150755873775035,0.12212084954701674,0.11253911489886557,-0.4586051263833917,-0.4989443530299264,0.3235294117647059,-7.075015303371445,1.4943601911454607e-12,238,238,198.68067226890756
